,Keyword,Position,Url,Top10,HTTP code BABBAR,TTFB (en ms) BABBAR,Page Value BABBAR,Page Trust BABBAR,Semantic Value BABBAR,Backlinks BABBAR,Backlinks host BABBAR,Host Outlinks BABBAR,Outlinks BABBAR,Desktop First Contentful Paint Terrain,Desktop First Input Delay Terain,Desktop Largest Contentful Paint Terrain,Desktop Cumulative Layout Shift Terrain,Desktop First Contentful Paint Lab,Desktop Speed Index Lab,Desktop Largest Contentful Paint Lab,Desktop Time to Interactive Lab,Desktop Total Blocking Time Lab,Desktop Cumulative Layout Shift Lab,Content Type,Status Code,Status,Indexability_x,Indexability Status_x,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Transferred (bytes),Word Count,Sentence Count,Average Words Per Sentence,Flesch Reading Ease Score,Readability,Text Ratio,Crawl Depth,Folder Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp,Errors,Warnings,Total Types,Unique Types,Type-1,Indexability_y,Indexability Status_y,Title 1 score,Meta Description 1 score,Meta Keywords 1 score,H1-1 score,H1-2 score,H2-1 score,H2-2 score,Meta Robots 1 score,Url score
93,billet d'avion maroc,4,https://www.edreams.fr/vol/maroc/MA/,0,,,74.0,21.0,,17.0,1435.0,0.0,0.0,1402.0,4.0,1715.0,6.0,1759.0,1256.8502971739724,6488.0,2452.5,142.5,19.0,text/html;charset=utf-8,200,OK,Indexable,,Vols pas chers Maroc - Offres sur les billets d'avion,53,453,Trouvez un vol pas cher de null à Maroc et économisez jusqu'à 30% ! Comparez nos offres et réservez vos billets d'avion au meilleur prix avec eDreams.,150,922,,0,Vols pas chers à destination du Maroc,37,,0,Maroc: où aller ?,17,Destinations de A à Z,21,"index, follow",,,https://www.edreams.fr/vol/maroc/MA/,,,,,,267919,43515,749,169.0,0,0,Easy,0,0,3,,1,1,0,0,54,52,0,22,22,0,,,,,a8fc859711cb0f5c38365ed02b2b3ead,0,"Wed, 01 May 2024 03:30:22 GMT",,,,1.1,https://www.edreams.fr/vol/maroc/MA/,2024-05-03 16:56:07,0.0,0.0,0.0,0.0,,Indexable,,0,0,0,0,0,0,0,0,0
94,billet d'avion maroc,5,https://www.govoyages.com/compagnie-aerienne/AT/royal-air-maroc/,0,200.0,21.0,76.0,32.0,,2.0,588.0,32.0,0.0,1592.0,4.0,2556.0,5.0,1598.0,1408.626741945416,7493.0,2777.0,471.0,17.0,text/html;charset=utf-8,200,OK,Indexable,,Royal Air Maroc : Vols et billets pas chers - Économisez jusqu'à 30%,68,599,Profitez des offres spéciales de GO Voyages sur les vols Royal Air Maroc. Réservez maintenant et économisez jusqu'à 30% sur vos billets d'avion !,145,891,,0,Trouvez un vol pas cher Royal Air Maroc sur GO Voyages,54,,0,Réservez votre billet d'avion Royal Air Maroc,45,Royal Air Maroc,15,"index, follow",,,https://www.govoyages.com/compagnie-aerienne/AT/royal-air-maroc/,,,,,,347028,49065,1537,348.0,0,0,Very Easy,0,0,3,,1,1,0,0,62,47,0,0,0,0,,,,,5b840fb82bfe4613569cb4a6de9d5a07,0,"Thu, 02 May 2024 01:30:34 GMT",,,,1.1,https://www.govoyages.com/compagnie-aerienne/AT/royal-air-maroc/,2024-05-03 16:56:04,0.0,0.0,0.0,0.0,,Indexable,,0,0,0,0,0,0,0,0,0
95,billet d'avion maroc,6,https://www.liligo.fr/vols/maroc,0,200.0,86.0,71.0,41.0,,11.0,1181.0,74.0,10.0,1388.0,4.0,2880.0,3.0,994.0,2048.749561437916,2206.0,2404.5,294.0,7.0,text/html;charset=utf-8,200,OK,Indexable,,Vol Maroc pas cher | Billets d'avion sur Liligo,47,394,Comparez les prix des billets d’avion Maroc parmi des centaines de sites de voyage et trouvez votre vol pas cher sur Liligo.,124,748,,0,Vol Maroc : comparez les prix des billets d'avion,49,,0,Les meilleurs prix en ce moment,31,Prix des billets d’avion France - Maroc,39,,,,https://www.liligo.fr/vols/maroc,,,,,,563840,100719,2392,382.0,0,0,Fairly Easy,0,0,1,,2,2,0,0,89,75,0,4,4,0,,,,,18e27e74d165f3b377a971cfb8dd9c04,0,,,,,1.1,https://www.liligo.fr/vols/maroc,2024-05-03 16:56:20,0.0,0.0,0.0,0.0,,Indexable,,0,0,0,0,0,0,0,0,0
96,billet d'avion maroc,7,https://www.transavia.com/destinations/fr-fr/le-maroc,0,,,,,,,,,,1155.0,3.0,1305.0,32.0,2464.0,3987.5840020467767,2685.0,3436.75,428.0,32.0,text/html; charset=utf-8,200,OK,Indexable,,Billets d’avion pas cher Maroc dès 38 € | Transavia,51,448,Envie de vous envoler pour Maroc? Réservez vos billets d’avion en ligne ! ✔ Vols directs ✔ Réservation rapide et facile ✔ Pas de frais de réservation,149,881,,0,Maroc,5,,0,Nos destinations en Maroc,25,Trouvez votre vol,17,"index, follow",,,https://www.transavia.com/destinations/fr-fr/le-maroc,,,,,,209716,38702,909,197.0,0,0,Very Easy,0,0,2,,1,1,0,0,96,86,0,13,12,0,,,,,ed9dd83dcb148a2c3a8ec668f4f5c27d,0,,,,,1.1,https://www.transavia.com/destinations/fr-fr/le-maroc,2024-05-03 16:56:14,0.0,0.0,0.0,0.0,,Indexable,,0,0,0,0,0,0,0,0,0
97,billet d'avion maroc,8,https://www.jetcost.com/vols/maroc/MA,0,200.0,458.0,74.0,28.0,47.0,39.0,3575.0,88.0,42.0,3462.0,2.0,5014.0,11.0,2828.0,2643.5308533433977,4917.0,2971.5,706.0,36.0,text/html; charset=UTF-8,200,OK,Indexable,,Vols pas chers vers Maroc à partir de 23 € - Jetcost,52,456,Vol Maroc ✈ Comparez et trouvez votre vol Maroc pas cher. Tous les prix des vols pour Maroc!,92,575,,0,Vol Maroc,9,,0,Principales destinations Maroc,30,Offres de vols vers Maroc,25,,,,https://www.jetcost.com/vols/maroc/MA,,,,,,951653,167217,1461,347.0,0,0,Very Easy,0,0,2,,1,1,0,0,192,137,0,38,37,0,,,,,5e89dd0dc3ff68c19b63c4bd409149e7,0,,,,,1.1,https://www.jetcost.com/vols/maroc/MA,2024-05-03 16:56:16,0.0,0.0,0.0,0.0,,Indexable,,0,0,0,0,0,0,0,0,0
98,billet d'avion maroc,9,https://www.skyscanner.fr/vols-a/ma/vols-pas-chers-a-maroc.html,0,307.0,77.0,60.0,24.0,47.0,9.0,172.0,1.0,0.0,2015.0,8.0,3061.0,1.0,681.0,1802.0886500208212,1755.0,2259.5,166.5,60.0,text/html; charset=utf-8,200,OK,Indexable,,Vols pas chers pour Maroc à partir de 26€ | Skyscanner,54,487,Vous cherchez des vols pour Maroc? Comparez les prix des principales agences de voyage et compagnies aériennes pour obtenir les meilleures offres de vol sur votre prochain voyage.,179,1123,,0,Billet d'avion pas cher pour Maroc,34,,0,Maroc : vers quelle ville voulez-vous vous envoler ?,52,Aller à Maroc en avion,22,,,,https://www.skyscanner.fr/vols-a/ma/vols-pas-chers-a-maroc.html,,,,,,502490,94327,2817,575.0,0,0,Easy,0,0,2,,2,2,0,0,186,171,0,30,29,0,,,,,751fb894467d8029477ccfe3b6e3ccb8,0,,,,,1.1,https://www.skyscanner.fr/vols-a/ma/vols-pas-chers-a-maroc.html,2024-05-03 16:56:13,0.0,0.0,0.0,0.0,,Indexable,,0,0,0,0,0,0,0,0,0
99,billet d'avion maroc,10,https://www.tuifly.be/fr/destinations/maroc,0,403.0,224.0,,,,2.0,0.0,0.0,0.0,2484.0,4.0,3883.0,0.0,2618.0,6984.345320114293,3292.0,7099.5431299209595,584.0,13.0,text/html; charset=utf-8,200,OK,Indexable,,Vols Maroc - Billets d'avion Maroc | TUI fly,44,370,,0,0,,0,Gérer vos préférences de cookies,32,Vols Maroc,10,Liste alphabétique de nos destinations par pays,47,Suivez TUI fly,14,,,,,,,,,,113794,21300,873,282.0,0,0,Normal,0,0,2,,11,1,0,0,218,168,0,18,16,0,,,,,24909365c6ae284004443a5c35a688d7,0,,,,,1.1,https://www.tuifly.be/fr/destinations/maroc,2024-05-03 16:55:59,0.0,0.0,0.0,0.0,,Indexable,,0,0,0,0,0,0,0,0,0
100,billet d'avion maroc,11,https://www.skyscanner.fr/itineraires/ma/fr/maroc-a-france.html,1,,,,,,0.0,0.0,0.0,0.0,681.0,4.0,1755.0,60.0,681.0,1968.7485822283993,1755.0,2834.0,339.5,60.0,text/html; charset=utf-8,200,OK,Indexable,,Vols pas chers Maroc-France à partir de 26 € | Skyscanner,57,514,"Vous recherchez un vol Maroc-France pas cher ? Comparez les prix de toutes les grandes compagnies aériennes, trouvez le meilleur moment pour partir, puis réservez sans frais supplémentaires.",190,1191,,0,Billet d'avion Maroc-France,27,,0,France : où allez-vous partir pour votre voyage au départ de votre pays (Maroc) ?,81,Vols Maroc - France : en bref,29,,,,https://www.skyscanner.fr/itineraires/ma/fr/maroc-a-france.html,,,,,,470035,91270,2417,499.0,0,0,Very Easy,0,0,3,,3,1,0,0,160,140,0,30,29,0,,,,,f54027a9cdfb1c2c3c51843213849869,0,,,,,1.1,https://www.skyscanner.fr/itineraires/ma/fr/maroc-a-france.html,2024-05-03 16:56:13,0.0,0.0,0.0,0.0,,Indexable,,0,0,0,0,0,0,0,0,0
101,billet d'avion maroc,12,https://www.easyvols.fr/billet-avion/maroc,1,200.0,3377.0,72.0,48.0,,0.0,300.0,69.0,1.0,1335.0,3.0,5299.0,62.0,1335.0,1562.5520801815437,5299.0,2943.25,224.5,62.0,text/html;charset=UTF-8,200,OK,Indexable,,Vol Maroc pas cher : Billets d'avions pour le Maroc - Easyvols,62,538,"Vous recherchez un vol à destination du Maroc ? Avec Easyvols, comparez les prix et dénichez des billets d\'avion pas chers pour le Maroc.",138,849,,0,Billets d'avion à destination du Maroc,38,,0,Dernières offres de billet vers le Maroc,40,Maroc : Principaux aéroports,28,"index, follow",,,https://www.easyvols.fr/billet-avion/maroc,,,,,,130750,18952,1210,280.0,0,0,Easy,0,0,1,,5,1,0,0,78,70,0,2,2,0,,,,,4ca9b36209c6df1f0fbf8aae91340c0e,0,"Fri, 03 May 2024 12:53:07 GMT",,,,1.1,https://www.easyvols.fr/billet-avion/maroc,2024-05-03 16:56:08,0.0,0.0,0.0,0.0,,Indexable,,0,0,0,0,0,0,0,0,0
102,billet d'avion maroc,13,https://www.booking.com/flights/route/to-country/fr/ma.fr.html,1,,,40.0,,,0.0,2.0,0.0,0.0,3819.0,9.0,4028.0,5.0,3819.0,2060.9655431199185,4028.0,4120.0,574.0,5.0,text/html; charset=UTF-8,200,OK,Indexable,,Réservez des vols pas chers pour le Maroc depuis la France - Booking.com,72,660,Comparez les offres et réservez des billets d'avion entre la France et le Maroc en toute simplicité.,100,590,,0,Recherchez des vols de la France vers le Maroc,46,,0,Vols populaires vers le Maroc,29,Vols vers le Maroc : ce qu'il faut savoir,41,"index,follow",,,https://www.booking.com/flights/route/to-country/fr/ma.fr.html,,,,,,620746,159652,1950,357.0,0,0,Easy,0,0,4,,9,1,0,0,116,100,0,3,3,0,,,,,62cd672f43ac32c89fdd683dec6f696a,0,,,,,1.1,https://www.booking.com/flights/route/to-country/fr/ma.fr.html,2024-05-03 16:56:10,0.0,0.0,0.0,0.0,,Indexable,,0,0,0,0,0,0,0,0,0
